OCC_CODE,OCC_TITLE,TOT_EMP,A_MEDIAN,A_MEAN,YEAR
19-1029,"Biological Scientists, All Other",40100.0,82220.0,87590.0,2019
19-1030,Conservation Scientists and Foresters,31580.0,62410.0,65900.0,2019
19-1031,Conservation Scientists,22070.0,62660.0,67040.0,2019
19-1032,Foresters,9510.0,61790.0,63270.0,2019
19-1040,Medical Scientists,134600.0,87290.0,97650.0,2019
19-1041,Epidemiologists,7410.0,70990.0,78290.0,2019
19-1042,"Medical Scientists, Except Epidemiologists",127180.0,88790.0,98770.0,2019
19-1090,Miscellaneous Life Scientists,6450.0,75910.0,85890.0,2019
19-1099,"Life Scientists, All Other",6450.0,75910.0,85890.0,2019
19-2000,Physical Scientists,255790.0,81270.0,91110.0,2019
19-2010,Astronomers and Physicists,18800.0,122220.0,130110.0,2019
19-2011,Astronomers,2070.0,114590.0,122270.0,2019
19-2012,Physicists,16730.0,122850.0,131080.0,2019
19-2020,Atmospheric and Space Scientists,9290.0,95380.0,97160.0,2019
19-2021,Atmospheric and Space Scientists,9290.0,95380.0,97160.0,2019
19-2030,Chemists and Materials Scientists,90240.0,78790.0,85360.0,2019
19-2031,Chemists,83530.0,77630.0,84150.0,2019
19-2032,Materials Scientists,6710.0,96810.0,100430.0,2019
19-2040,Environmental Scientists and Geoscientists,119920.0,75830.0,85790.0,2019
19-2041,"Environmental Scientists and Specialists, Including Health",84290.0,71360.0,77940.0,2019
19-2042,"Geoscientists, Except Hydrologists and Geographers",29200.0,92040.0,108350.0,2019
19-2043,Hydrologists,6440.0,81270.0,86330.0,2019
19-2090,Miscellaneous Physical Scientists,17550.0,109910.0,112070.0,2019
19-2099,"Physical Scientists, All Other",17550.0,109910.0,112070.0,2019
19-3000,Social Scientists and Related Workers,249120.0,80220.0,88030.0,2019
19-3010,Economists,19000.0,105020.0,116630.0,2019
19-3011,Economists,19000.0,105020.0,116630.0,2019
19-3020,Survey Researchers,9930.0,59170.0,65760.0,2019
19-3022,Survey Researchers,9930.0,59170.0,65760.0,2019
19-3030,Psychologists,128130.0,80370.0,88770.0,2019
19-3031,"Clinical, Counseling, and School Psychologists",113270.0,78200.0,87450.0,2019
19-3032,Industrial-Organizational Psychologists,630.0,92880.0,111150.0,2019
19-3039,"Psychologists, All Other",14220.0,101790.0,98230.0,2019
19-3040,Sociologists,2630.0,83420.0,90590.0,2019
19-3041,Sociologists,2630.0,83420.0,90590.0,2019
19-3050,Urban and Regional Planners,38560.0,74350.0,77750.0,2019
19-3051,Urban and Regional Planners,38560.0,74350.0,77750.0,2019
19-3090,Miscellaneous Social Scientists and Related Workers,50870.0,81880.0,87480.0,2019
19-3091,Anthropologists and Archeologists,6720.0,63670.0,66810.0,2019
19-3092,Geographers,1400.0,81540.0,81970.0,2019
19-3093,Historians,3040.0,63680.0,68690.0,2019
19-3094,Political Scientists,6010.0,122220.0,120260.0,2019
19-3099,"Social Scientists and Related Workers, All Other",33690.0,83330.0,87690.0,2019
19-4000,"Life, Physical, and Social Science Technicians",358740.0,48230.0,52340.0,2019
19-4010,Agricultural and Food Science Technicians,21870.0,41230.0,44440.0,2019
19-4010,Agricultural and Food Science Technicians,21870.0,41230.0,44440.0,2019
19-4020,Biological Technicians,79530.0,45860.0,49110.0,2019
19-4021,Biological Technicians,79530.0,45860.0,49110.0,2019
19-4030,Chemical Technicians,65760.0,49260.0,52910.0,2019
19-4031,Chemical Technicians,65760.0,49260.0,52910.0,2019
19-4040,Environmental Science and Geoscience Technicians,49730.0,47760.0,54220.0,2019
19-4042,"Environmental Science and Protection Technicians, Including Health",32620.0,46540.0,50760.0,2019
19-4045,Geological and Hydrologic Technicians,17110.0,51130.0,60800.0,2019
19-4050,Nuclear Technicians,6420.0,82080.0,82710.0,2019
19-4051,Nuclear Technicians,6420.0,82080.0,82710.0,2019
19-4060,Social Science Research Assistants,35580.0,47510.0,51340.0,2019
19-4061,Social Science Research Assistants,35580.0,47510.0,51340.0,2019
19-4070,Forest and Conservation Technicians,19060.0,45500.0,45860.0,2019
19-4071,Forest and Conservation Technicians,19060.0,45500.0,45860.0,2019
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",80780.0,52090.0,55610.0,2019
19-4092,Forensic Science Technicians,16520.0,59150.0,63170.0,2019
19-4099,"Life, Physical, and Social Science Technicians, All Other",64260.0,50550.0,53670.0,2019
19-5000,Occupational Health and Safety Specialists and Technicians,113360.0,70480.0,72690.0,2019
19-5010,Occupational Health and Safety Specialists and Technicians,113360.0,70480.0,72690.0,2019
19-5011,Occupational Health and Safety Specialists,92780.0,74100.0,76290.0,2019
19-5012,Occupational Health and Safety Technicians,20580.0,51550.0,56470.0,2019
21-0000,Community and Social Service Occupations,2244310.0,46090.0,50480.0,2019
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2159870.0,46060.0,50410.0,2019
21-1010,Counselors,773500.0,48780.0,53120.0,2019
21-1012,"Educational, Guidance, and Career Counselors and Advisors",296460.0,57040.0,61000.0,2019
21-1013,Marriage and Family Therapists,59050.0,49610.0,54590.0,2019
21-1015,Rehabilitation Counselors,109040.0,35950.0,40160.0,2019
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",283540.0,46240.0,49950.0,2019
21-1019,"Counselors, All Other",25420.0,42930.0,48800.0,2019
21-1020,Social Workers,678780.0,50470.0,54190.0,2019
21-1021,"Child, Family, and School Social Workers",327710.0,47390.0,51030.0,2019
21-1022,Healthcare Social Workers,174890.0,56750.0,59300.0,2019
21-1023,Mental Health and Substance Abuse Social Workers,117770.0,46650.0,51670.0,2019
21-1029,"Social Workers, All Other",58410.0,61230.0,61750.0,2019
21-1090,Miscellaneous Community and Social Service Specialists,707590.0,39100.0,43810.0,2019
21-1091,Health Education Specialists,58590.0,55220.0,60500.0,2019
21-1092,Probation Officers and Correctional Treatment Specialists,88120.0,54290.0,59910.0,2019
21-1093,Social and Human Service Assistants,404450.0,35060.0,37050.0,2019
21-1094,Community Health Workers,58950.0,40360.0,44390.0,2019
21-1099,"Community and Social Service Specialists, All Other",97480.0,43790.0,46900.0,2019
21-2000,Religious Workers,84440.0,46880.0,52260.0,2019
21-2010,Clergy,53180.0,50400.0,55190.0,2019
21-2011,Clergy,53180.0,50400.0,55190.0,2019
21-2020,"Directors, Religious Activities and Education",21820.0,43860.0,50490.0,2019
21-2021,"Directors, Religious Activities and Education",21820.0,43860.0,50490.0,2019
21-2090,Miscellaneous Religious Workers,9450.0,31630.0,39830.0,2019
21-2099,"Religious Workers, All Other",9450.0,31630.0,39830.0,2019
23-0000,Legal Occupations,1150780.0,81820.0,109630.0,2019
23-1000,"Lawyers, Judges, and Related Workers",722940.0,119970.0,141180.0,2019
23-1010,Lawyers and Judicial Law Clerks,673800.0,120670.0,143200.0,2019
23-1011,Lawyers,657170.0,122960.0,145300.0,2019
23-1012,Judicial Law Clerks,16630.0,54010.0,59890.0,2019
23-1020,"Judges, Magistrates, and Other Judicial Workers",49140.0,111080.0,113470.0,2019
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14380.0,97870.0,100230.0,2019
23-1022,"Arbitrators, Mediators, and Conciliators",6090.0,63930.0,73720.0,2019
23-1023,"Judges, Magistrate Judges, and Magistrates",28670.0,136910.0,128550.0,2019
23-2000,Legal Support Workers,427840.0,51920.0,56320.0,2019
23-2010,Paralegals and Legal Assistants,329870.0,51740.0,55020.0,2019
23-2011,Paralegals and Legal Assistants,329870.0,51740.0,55020.0,2019
23-2090,Miscellaneous Legal Support Workers,97970.0,52430.0,60690.0,2019
23-2093,"Title Examiners, Abstractors, and Searchers",52890.0,48180.0,52050.0,2019
23-2099,"Legal Support Workers, All Other",45080.0,58400.0,70840.0,2019
25-0000,Educational Instruction and Library Occupations,8886600.0,50790.0,57710.0,2019
25-1000,Postsecondary Teachers,1407110.0,75440.0,90830.0,2019
25-1010,"Business Teachers, Postsecondary",83920.0,87200.0,105440.0,2019
25-1011,"Business Teachers, Postsecondary",83920.0,87200.0,105440.0,2019
25-1020,"Math and Computer Science Teachers, Postsecondary",82940.0,77710.0,90970.0,2019
25-1021,"Computer Science Teachers, Postsecondary",31800.0,85180.0,98430.0,2019
25-1022,"Mathematical Science Teachers, Postsecondary",51150.0,73690.0,86330.0,2019
25-1030,"Engineering and Architecture Teachers, Postsecondary",42860.0,99300.0,110040.0,2019
25-1031,"Architecture Teachers, Postsecondary",6780.0,87900.0,98980.0,2019
25-1032,"Engineering Teachers, Postsecondary",36080.0,101010.0,112110.0,2019
25-1040,"Life Sciences Teachers, Postsecondary",64330.0,83370.0,97110.0,2019
25-1041,"Agricultural Sciences Teachers, Postsecondary",9470.0,83260.0,89320.0,2019
25-1042,"Biological Science Teachers, Postsecondary",53090.0,83300.0,98700.0,2019
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1770.0,85450.0,90940.0,2019
25-1050,"Physical Sciences Teachers, Postsecondary",52240.0,84730.0,97090.0,2019
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11020.0,92040.0,102690.0,2019
25-1052,"Chemistry Teachers, Postsecondary",21380.0,79550.0,92650.0,2019
25-1053,"Environmental Science Teachers, Postsecondary",6060.0,82430.0,93450.0,2019
25-1054,"Physics Teachers, Postsecondary",13780.0,89590.0,101110.0,2019
25-1060,"Social Sciences Teachers, Postsecondary",117590.0,80020.0,92920.0,2019
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5850.0,86220.0,95140.0,2019
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",10600.0,77070.0,88410.0,2019
25-1063,"Economics Teachers, Postsecondary",13270.0,104370.0,119160.0,2019
25-1064,"Geography Teachers, Postsecondary",3970.0,80520.0,86540.0,2019
25-1065,"Political Science Teachers, Postsecondary",15750.0,85930.0,102290.0,2019
25-1066,"Psychology Teachers, Postsecondary",37480.0,76620.0,87530.0,2019
25-1067,"Sociology Teachers, Postsecondary",13850.0,75290.0,85240.0,2019
25-1069,"Social Sciences Teachers, Postsecondary, All Other",16830.0,71530.0,85390.0,2019
25-1070,"Health Teachers, Postsecondary",261590.0,89910.0,112850.0,2019
25-1071,"Health Specialties Teachers, Postsecondary",201920.0,97320.0,121620.0,2019
25-1072,"Nursing Instructors and Teachers, Postsecondary",59680.0,74600.0,83160.0,2019
25-1080,"Education and Library Science Teachers, Postsecondary",65690.0,66000.0,74740.0,2019
25-1081,"Education Teachers, Postsecondary",61300.0,65510.0,74560.0,2019
25-1082,"Library Science Teachers, Postsecondary",4390.0,71410.0,77170.0,2019
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",43890.0,75580.0,95510.0,2019
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",14070.0,62860.0,72980.0,2019
25-1112,"Law Teachers, Postsecondary",16180.0,113530.0,129950.0,2019
25-1113,"Social Work Teachers, Postsecondary",13640.0,72070.0,77910.0,2019
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",260500.0,70550.0,82360.0,2019
25-1121,"Art, Drama, and Music Teachers, Postsecondary",94060.0,69530.0,83220.0,2019
25-1122,"Communications Teachers, Postsecondary",29120.0,70630.0,79830.0,2019
25-1123,"English Language and Literature Teachers, Postsecondary",67930.0,68490.0,80180.0,2019
25-1124,"Foreign Language and Literature Teachers, Postsecondary",24860.0,69990.0,80170.0,2019
25-1125,"History Teachers, Postsecondary",21030.0,75170.0,84210.0,2019
25-1126,"Philosophy and Religion Teachers, Postsecondary",23490.0,75240.0,88970.0,2019
25-1190,Miscellaneous Postsecondary Teachers,331560.0,62040.0,73540.0,2019
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2150.0,76480.0,85270.0,2019
